Class,Sequence,distance_11_13,distance_12_14,distance_23_11,distance_24_12,distance_25_23,distance_26_24,distance_27_25,distance_28_26,distance_11_12,distance_13_14,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
0,0,0.082097402,0.152825245,0.191736374,0.164503015,0.146156269,0.143700444,0.151046975,0.143731573,0.13199344,0.21478768,159.2433819,174.2127996,102.4150247,95.77896745,158.3010259,174.0448399,163.2073584,164.4494059
0,0,0.084134503,0.145891789,0.191055785,0.164270387,0.146021273,0.138398315,0.150966229,0.143336297,0.131952512,0.199796864,165.3632855,177.6239046,94.17026322,95.20224683,158.617587,174.1351237,162.2266791,169.6017635
0,0,0.087902854,0.151973927,0.190634038,0.163506777,0.14558217,0.139231899,0.152393418,0.141709789,0.132084755,0.203841837,162.2376005,174.7276308,91.99825703,89.40146277,158.6226443,175.1210311,161.5518011,170.3478259
0,0,0.115735954,0.158203181,0.191557203,0.164301281,0.145329333,0.142101774,0.150699497,0.13389504,0.13172553,0.176554421,175.4960399,166.3814946,78.85500211,85.78573146,158.5184845,174.7291276,161.7742064,171.0039713
0,0,0.129804592,0.166934995,0.192124013,0.16435107,0.147582052,0.142592574,0.148725849,0.138370421,0.131301475,0.170959787,178.3844033,172.1410316,75.34890607,79.83705181,159.1037501,172.4995748,161.9338911,168.6080417
0,0,0.123400792,0.163043762,0.192382452,0.166342169,0.148723146,0.142141177,0.14576144,0.143717636,0.127886364,0.169472348,177.4003918,172.8252983,75.57169698,80.96744174,159.6569723,168.5639627,164.7270891,153.643719
0,0,0.097765662,0.160642015,0.193099589,0.168091524,0.148869742,0.137121296,0.147564687,0.147587516,0.125860922,0.188937808,178.5783088,168.2145774,72.14289094,82.97193192,169.0863516,165.1681726,157.7080216,151.2808052
0,0,0.106194376,0.160345214,0.193654193,0.17033771,0.149262894,0.13550835,0.150668639,0.153416178,0.126187301,0.180058106,173.8636681,170.3056018,66.80987194,82.95609329,170.7737136,161.4596009,156.905481,147.9398828
0,0,0.11185248,0.156620953,0.193051312,0.16988094,0.148397033,0.136144832,0.149913071,0.158516177,0.125926616,0.172583988,169.2816734,172.447332,59.22205254,83.06255202,170.2976082,153.9579464,158.7601716,136.9984784
0,0,0.11711147,0.148528193,0.192081478,0.169806369,0.144764882,0.118926067,0.151977859,0.140410216,0.125824754,0.16251224,166.9422346,174.4365953,53.95338527,82.13381254,167.2218799,143.3988742,164.3534686,142.5212191
0,0,0.120001468,0.133021292,0.190398052,0.166643095,0.144783496,0.115361878,0.161444078,0.138145673,0.126442383,0.146903525,170.1865293,175.2471754,50.84836925,79.90480292,165.8322129,115.0877979,159.5006471,163.7972019
0,0,0.116148257,0.12948596,0.189252626,0.167211015,0.143327908,0.118513678,0.163280888,0.156160456,0.128015877,0.153191084,167.3110817,177.8801318,45.2329104,78.70298287,170.1112392,125.802078,152.9911369,121.2842099
0,0,0.106638635,0.124031903,0.186585559,0.165542404,0.144784203,0.118300421,0.148945852,0.177628778,0.127944418,0.164567767,159.604402,179.181217,35.16330272,76.78205343,176.1855779,154.0002199,159.5935233,133.8354786
0,0,0.093829092,0.124046765,0.185878699,0.164413231,0.146257612,0.126260748,0.148572995,0.17148741,0.129698556,0.180187539,157.2054938,179.7138827,28.31393303,74.28046363,179.1781793,155.0872735,157.6062549,137.1985968
